Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Copper,,Total,Copper,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,1000e^{0.979123ln(hardness)-8.64497},ug/L,,Table 1.3,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Copper,,Total,Copper,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,7,ug/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
,,,Diethanolamine,CA-AB,AB Gov,,Interim,Water,Freshwater,Chronic,450,ug/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
,,,Diethylene glycol,CA-AB,AB Gov,,Interim,Water,Freshwater,Chronic,150,mg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
,,,F1 Hydrocarbons,CA-AB,AB Gov,,Interim,Water,Freshwater,Chronic,150,ug/L,Based on toxicity reference value for gasoline,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
C10-C16 Hydrocarbons,,,F2 Hydrocarbons,CA-AB,AB Gov,,Interim,Water,Freshwater,Chronic,110,ug/L,Based on toxicity reference value for fuel oil #2,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
"1,1,2-Trichloroethane",,,"1,1,2-Trichloroethane","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,21,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/161/,,,
Mercury,,Total,Mercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,0.013,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Mercury,,Total,Mercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,0.005,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Methanol,,,Methanol,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,1.5,mg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Methylmercury(1+),,Total,Methylmercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,0.002,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Methylmercury(1+),,Total,Methylmercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,0.001,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
,,,Monoethanolamine,CA-AB,AB Gov,,Interim,Water,Freshwater,Chronic,75,ug/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,5,mg/L,Values are minima. Short-term (acute) value is instantaneous value.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-09-15
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,6.5,mg/L,Values are minima. Long-term (chronic) is 7-d mean.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-09-15
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic - Mayflay,8.3,mg/L,Values are minima. May to June for protection of mayfly species. Long-term (chronic) is 7-d mean.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-09-15
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Pore Water,Freshwater,Chronic - Larvae,9.5,mg/L,Values are minima. For protection of larval fish developing in gravel beds from spawning to 30-d after hatching. Long-term (chronic) is 7-d mean.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-09-15
Toxicity acute,,,Toxicity,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,0.3,TU,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Toxicity acute,,,Toxicity,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,1,TU,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
,,,Triethylene glycol,CA-AB,AB Gov,,Interim,Water,Freshwater,Chronic,350,mg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
Zinc,,Total,Zinc,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,30,ug/L,CCME 1987 (there is now an updated CCME guideline for dissolved zinc).,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,MK,2020-12-11
o-Dichlorobenzene,,",Total","1,2-Dichlorobenzene",CA-BC,US-WA,,,Sediment,Marine,No Effect Level,0.0231,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-07
"1,2,4-Trichlorobenzene",,",Total","1,2,4-Trichlorobenzene",CA-BC,US-WA,,,Sediment,Marine,No Effect Level,0.00811,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-07
"1,2,4-Trichlorobenzene",,",Total","1,2,4-Trichlorobenzene",CA-BC,US-WA,,,Sediment,Marine,Probable Effect Level ,0.0181,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-07
p-Dichlorobenzene,,",Total","1,4-Dichlorobenzene",CA-BC,US-WA,,,Sediment,Marine,No Effect Level,0.0311,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-07
p-Dichlorobenzene,,",Total","1,4-Dichlorobenzene",CA-BC,US-WA,,,Sediment,Marine,Probable Effect Level ,0.091,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-07
,,,"1,1,2,2-Tetrachloroethene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,110,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=50,,,
o-Dichlorobenzene,,,"1,2-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.7,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/153/,,,
o-Dichlorobenzene,,,"1,2-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,42,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/153/,,,
"1,2-Dichloroethane",,,"1,2-Dichloroethane","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,100,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/160/,,,
Acenapthene,,",Total",Acenapthene,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,0.15,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Acenapthene,,",Total",Acenapthene,CA-BC,BC Gov,,Approved,Sediment,Marine,No Effect Level,0.15,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
"1,2,3-Trichlorobenzene",,,"1,2,3-Trichlorobenzene","CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,8,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=33,,,
,,",Total",Acridine,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,1,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
"1,2,3,4-Tetrachlorobenzene",,,"1,2,3,4-Tetrachlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.8,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/158/,,,
"1,2,4-Trichlorobenzene",,,"1,2,4-Trichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,24,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/157/,,,
"1,2,4-Trichlorobenzene",,,"1,2,4-Trichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,5.4,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/157/,,,
Aldrin,,",Total",Aldrin,CA-BC,ON Gov,,,Sediment,Freshwater,No Effect Level,0.0021,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",MK,2020-12-07
Aldrin,,",Total",Aldrin,CA-BC,ON Gov,,,Sediment,Freshwater,Probable Effect Level ,0.081,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",MK,2020-12-07
Aldrin,,",Total",Aldrin,CA-BC,US NOAA,,,Sediment,Marine,No Effect Level,0.005,µg/g,"Long, E. R., and Morgan, L. G. 1990. The Potential for Biological Effects of Sediment Sorbed Contaminants Tested in the National Status and Tends Program, National Oceanic and Atmospheric Administration, Seattle, Washington.",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,MK,2020-12-07
m-Dichlorobenzene,,,"1,3-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,150,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/154/,,,
p-Dichlorobenzene,,,"1,4-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,26,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/155/,,,
MCPA,,,2-methyl-4-chlorophenoxyacetic acid (MCPA),"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,2.6,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/190/,,,
MCPA,,,2-methyl-4-chlorophenoxyacetic acid (MCPA),"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,4.2,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/190/,,,
"2,4-D 2-butoxyethyl ester",,,"2,4-D (BEE)",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,4,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-26
Resorcinol,,",Total",3-hydroxyphenol (resorcinol),"CA-BC,CA-YT",BC Gov,,Interim,Water,Freshwater,Acute,12.5,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-tech.pdf,,MK,2020-12-11
Anthracene,,",Total",Anthracene,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,0.6,µg/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
"p,p'-DDT",,,"4,4'-DDT",US,USEPA,WQC,Approved,Water,Freshwater,Acute,1.1,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-ddt-1980.pdf,,,
Hydroquinone,,",Total","4-hydroxyphenol (hydroqinone, quinol)","CA-BC,CA-YT",BC Gov,,Interim,Water,Freshwater,Acute,4.5,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-tech.pdf,,MK,2020-12-11
Acenaphthene,,",Total",Acenaphthene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,6,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-11
Acenaphthene,,",Total",Acenaphthene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,6,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-11
"p,p'-DDT",,,"4,4'-DDT",US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.001,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-ddt-1980.pdf,,,
Atrazine,,",Total",Atrazine,CA-BC,US EPA,,,Sediment,Freshwater,No Effect Level,0.0066,µg/g,United States Environmental Protection Agency (USEPA). 2006. Region III BTAG Freshwater Sediment Screening Benchmarks.,,https://www.epa.gov/sites/production/files/2015-09/documents/r3_btag_fw_sediment_benchmarks_8-06.pdf ,,,
Benz[a]anthracene,,",Total",Benz(a)anthracence,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,0.2,µg/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
,,",Total",Acridine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,3,ug/L,Phototoxic guideline: 0.05_No differentiation between acute and chronic in BC guideline,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-11
"p,p'-DDT",,,"4,4'-DDT",US,USEPA,WQC,Approved,Water,Marine,Acute,0.13,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-ddt-1980.pdf,,,
Acrolein,,",Total",Acrolein,"CA-BC,CA-YT",US EPA,,,Water,Freshwater,Chronic,1.14,ug/L,"US Environmental Protection Agency. 2009. Ambient aquatic life water quality criteria for acrolein (CAS registry no. 107-02-8). Washington, DC (US): EPA Office of Science and Technology, Health and Ecological Criteria Division. 49 p.",,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,MK,2020-12-11
Benzo[a]pyrene,,",Total",Benzo(a)pyrene,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,0.06,µg/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Benzo[a]pyrene,,",Total",Benzo(a)pyrene,CA-BC,BC Gov,,Approved,Sediment,Marine,No Effect Level,0.06,µg/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Benzo[ghi]perylene,,",Total","Benzo(g,h,i)perylene",CA-BC,US-WA,,,Sediment,Marine,No Effect Level,0.31,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-15
Benzo[ghi]perylene,,",Total","Benzo(g,h,i)perylene",CA-BC,US-WA,,,Sediment,Marine,Probable Effect Level ,0.78,µg/g,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,MK,2020-12-15
,,",Total",Alcohol ethoxylated sulphate (AES),"CA-BC,CA-YT",ANZECC,,,Water,Freshwater,Chronic,340,ug/L,,,http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",MK,2020-12-11
,,",Total",Alcohol ethoxylated surfactants (AE),"CA-BC,CA-YT",ANZECC,,,Water,Freshwater,Chronic,50,ug/L,,,http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",MK,2020-12-11
"p,p'-DDT",,,"4,4'-DDT",US,USEPA,WQC,Approved,Water,Marine,Chronic,0.001,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-ddt-1980.pdf,,,
Benzofluoranthene,,",Total",Benzofluoranthene,CA-BC,BC Gov,,Working,Sediment,Freshwater,No Effect Level,0.3,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
3-Iodo-2-propynyl butyl carbamate,,,3-Iodo-2-propynyl butyl carbamate,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.9,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/188/,,,
Alkalinity,,",Total",Alkalinity,CA-BC,BC Gov,,,Water,Freshwater,Chronic,"if (DCa < 4) \{ 10 \} else if (4 ≤ DCa ≤ 8) \{ [10,20] \} else if (8 < DCa) \{ 20 \}",mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,"Dissolved Calcium in units of mg/L; Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",MK,2020-12-11
Di(2-ethylhexyl) phthalate,,",Total",Bis (2-ethylhexyl) phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.47,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Di(2-ethylhexyl) phthalate,,",Total",Bis (2-ethylhexyl) phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,0.78,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Aluminum,,Dissolved,Aluminum,"CA-BC,CA-AB,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,if (0 ≤ pH < 6.5) \{ e^{1.209 - 2.426pH + 0.286pH^{2}} \} else if (6.5 ≤ pH ≤ 14) \{ 0.1 \},mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf,For acute use instantaneous pH,MK,2020-09-14
Aluminum,,Dissolved,Aluminum,"CA-BC,CA-AB,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,if (0 ≤ pH < 6.5) \{ e^{1.6 - 3.327pH + 0.402pH^{2}} \} else if (6.5 ≤ pH ≤ 14) \{ 0.05 \},mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf,For chronic use 30-d median pH,MK,2020-09-14
Butyl benzyl phthalate,,",Total",Butyl benzyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.049,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Butyl benzyl phthalate,,",Total",Butyl benzyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,0.64,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Acenaphthene,,,Acenaphthene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,5.8,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,,
