Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Guideline Publisher,Guideline Name,Status,Media Name,Freshwater or Marine,Guideline Type,Value,Unit,Notes,Look-up table ,Spec Sheet Url,Last Reviewed,Reviewer
Copper,,Total,Copper,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,1000e^{0.979123ln(hardness)-8.64497},µg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Copper,,Total,Copper,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,7,µg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
,,,Diethanolamine,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,450,µg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
,,,Diethylene glycol,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,150,mg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
,,,F1 Hydrocarbons,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,150,µg/L,Based on toxicity reference value for gasoline,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
C10-C16 Hydrocarbons,,,F2 Hydrocarbons,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,110,µg/L,Based on toxicity reference value for fuel oil #2,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Dissolved gases - saturation,,,"Gases, total dissolved","CA-AB, CA-ON",AB Gov,,Approved,Water,Freshwater,Chronic,110,%,,,AB Source: https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf USEPA Source: https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,
Hydrazine,,,Hydrazine,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,2.6,µg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Mercury,,Total,Mercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,0.013,µg/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Mercury,,Total,Mercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,0.005,µg/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Methanol,,,Methanol,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,1.5,mg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Methylmercury(1+),,Total,Methylmercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,0.002,µg/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Methylmercury(1+),,Total,Methylmercury,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,0.001,µg/L,Averaging period is 4d for long-term and 1hr for short-term,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
,,,Monoethanolamine,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,75,µg/L,,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,,
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Water,Freshwater,Acute,5,mg/L,Values are minima. Short-term (acute) value is instantaneous value.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,2020-09-15,MK
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic,6.5,mg/L,Values are minima. Long-term (chronic) is 7-d mean.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,2020-09-15,MK
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Water,Freshwater,Chronic - Mayflay,8.3,mg/L,Values are minima. May to June for protection of mayfly species. Long-term (chronic) is 7-d mean.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,2020-09-15,MK
Dissolved oxygen (DO),,Dissolved,Oxygen,CA-AB,AB Gov,,Approved,Porewater,Freshwater,Chronic - Larvae,9.5,mg/L,Values are minima. For protection of larval fish developing in gravel beds from spawning to 30-d after hatching. Long-term (chronic) is 7-d mean.,,https://open.alberta.ca/dataset/5298aadb-f5cc-4160-8620-ad139bb985d8/resource/38ed9bb1-233f-4e28-b344-808670b20dae/download/environmentalqualitysurfacewaters-mar28-2018.pdf,2020-09-15,MK
